SLIDE_NO,STATE,DISTRICT,TOPOSHEET,SLIDE_NAME,"NH_SH 
LOCATION",LATITUDE,LONGITUDE,LENGTH,WIDTH,HEIGHT,LS_AREA,DEPTH,"LANDSLIDE ALERT
 CATEGORY",VOLUME,"RUN_OUT_
DISTANCE","MATERIAL 
TYPE","MOVEMENT 
TYPE","MOVEMENT 
RATE",ACTIVITY,DISTRIBUTION,STYLE,"FAILURE 
PLANE","FAILURE 
MECHANISM","INITIATION 
YEAR","REACTIVATION 
YEAR1","REACTIVATION 
YEAR2","REACTIVATION 
YEAR3",GEOMORPHOLOGY,GEOLOGY,STRUCTURE,"LANDUSE 
LANDCOVER",HYDROLOGICAL,"TRIGGERING 
FACTOR","PERSONS 
DEATH","PEOPLE 
AFFECTED","LIVESTOCK 
AFFECTED","COMMUNICATION 
AFFECTED","INFRASTRUCTURE 
AFFECTED","LANDUSE 
LANDCOVER 
AFFECTED",GEOSCIENTIFIC_CAUSES,"PRE-REMEDIAL 
MEASURES",REMARKS,Citation,REPORT,PHOTOS,ABSTRACT,,,
HP/CHA/52D3/2019/59,Himachal Pradesh,Chamba,52D03,Bhaler,Bhaler,32.26212,76.22388,60.00,40.00,50.00,,0-1m,III,,5.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,Mudstone,,Moderately vegetated,Damp,Sudden Toe Removal,Nill,,,,,,Toe erosion by river,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/120,Himachal Pradesh,Chamba,43P15,Kalidhar ,Kalidhar ,32.41571,75.99114,16.00,20.00,15.00,,0-1m,III,,100.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,2017.00,,,Moderately Dissected,Phyllite,,Moderately vegetated,Damp,Road cutting and rainfall,Nill,,,partly road damaged,,,"Weathered rock  exposed on road cut, unscientific road cut, lack of toe support","Easing of slope, Proper drainage for water discharge to the stream flowing downslope, Toe support and foundation of appropriate design",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/122,Himachal Pradesh,Chamba,43P15,Kalidhar ,Kalidhar ,32.41450,75.98990,20.00,12.00,18.00,,0-1m,III,,25.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Moderately Dissected,Phyllite,,Moderately vegetated,Damp,Road cutting and rainfall,Nill,,,partly road damaged,,,"Weathered rock  exposed on road cut, unscientific road cut, lack of toe support","Easing of slope, , Toe support and foundation of appropriate design",,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/138,Himachal Pradesh,Chamba,43P15,Barrian,Barrian Nala,32.42824,75.95758,40.00,20.00,35.00,,0-1m,III,,10.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,Mudstone with conglomerate,,Moderately vegetated,Damp,Sudden Toe Removal,Nill,,,,,,Toe erosion by nala,Easing of slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/139,Himachal Pradesh,Chamba,43P15,Barrian,Near Barrian nala,32.42363,75.96903,90.00,25.00,80.00,,2-5m,III,,45.00,Rock,Slide,Rapid,Active,Retrogressive,Single,shallow,Deep planar failure,,,,,Moderately Dissected,Mudstone with conglomerate,,Moderately vegetated,Damp,Incessant rainfall,Nill,,,,,,Toe erosion by nala,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/15/2019/196,Himachal Pradesh,Kangra,43P15,Suliali,near Suliali village,32.38994,75.88767,15.00,10.00,12.00,,0-0.5m,III,,4.00,Debris,Slide,Rapid,Active,Retrogressive,Multiple,shallow,Shallow planar failure,2017.00,,,,Terrace,Alluvium,,Moderately vegetated,Damp,Road Cutting,Nill,,,,,,"Loose material on the slope.
Road cutting.",Easing of slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/KAN/43P/16/2019/179,Himachal Pradesh,Kangra,43P16,Bhatoli,Near Bhatoli,32.14401,75.87798,10.00,7.00,8.00,,0-1m,III,,3.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,2016.00,,,,Moderately Dissected,conglomerate with mudstone,,Densely vegetated,Dry,Road Cutting,Nill,,,,,,Unscientific Road cut,Benching of slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/43P/15/2019/82,Himachal Pradesh,Chamba,43P15,Kakira,Kakira,32.44726,75.93976,25.00,15.00,20.00,,0-1m,III,,4.00,Debris,Slide,Rapid,Active,Retrogressive,Single,shallow,Shallow planar failure,,,,,Lowly Dissected,Sandstone with mudstone,,Sparsely vegetated,Wet,Rainfall,Nill,,,part of road damaged,,,"Loose debris saturation by rainfalll,debris exposed in road cut",Removal of loose material from slope,proper toe support required,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/66,Himachal Pradesh,Chamba,52D03,Lahariri,Lahariri,32.28389,76.22333,120.00,55.00,100.00,,>5m,III,,200.00,Debris,Slide,Rapid,Active,Retrogressive,Multiple,Deep seated,Deep planar failure,2015.00,,,,Moderately Dissected,Red colored Mudstone and sandstone,,Moderately vegetated,Damp,Sudden Toe Removal,Nill,,,,,,Toe cutting by nala,,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
HP/CHA/52D3/2019/67,Himachal Pradesh,Chamba,52D03,,Ghatarla village,32.29500,76.16361,250.00,240.00,200.00,,2-3m,II,,450.00,Rock and Debris,Slide,Rapid,Reactivated,Enlarging,Complex,shallow,Shallow planar failure,2016.00,,,,Moderately Dissected,Sandstone shale and mudstone,,Sparsely vegetated,Dry,Sudden Toe Removal,Nill,,,,,Cultivated land on slope damaged,"Toe cutting by nala
Weathered rock exposed on steep slope",Benching of slope,,,"Renuka and Qurban Ali Tariq, 2020. Macro-scale (1:50,000) National landslide susceptibility Mapping in parts 
of toposheets no. 52D/3, 43P/11, 12 , 15,16 and 44M/13, parts of Kangra , Una and Chamba districts, 
Himachal Pradesh. Unpub. GSI report of FS 2019-2020",,,,,
