"Annexture-II"
"","B","C","D","E","F","G","H","I","J","K","L","U","V","W","X","Y","Z","AA","AB","AC","AD","AE","AF","AG","AH","AI","AJ","AK","AL","AM","AN","AO","AP","AQ","AR","AS","AT","AU"
"","Location","Topo_No
_","Locality","Road","Lat","Long","Gem_Pro
ces","Geom","Rock","Weatheri
ng","Rock_Ch
ara","SFM","Regolith","Lulc","Hydro","Erosion","Susc","Risk_asse
s","LSLenght","LSWidth","LSHeight","LSRun","LSMat","LSlideMo
vem","LSFailure","LSActiv","LSDistrib
u","LSStyle","LSMechn
a","LSIntiat","LSReact1","LSReact2","Upslope","Dwnslop
e","LSTriger","LSCaslty","LSCause","LSReMeas"
"1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","L2","62 B/12","Malpa","Pangla-
Malpa","30.00566
9°","80.74362
3°","Gravitati
onal","Highly
dissected
hill slope","Quartzite","Moderat
e","Moderat
e","Slope
wash","0 to 1m","Extensive
cut slope","Dry","Toe
erosion","High","High","124","60","60","110","Rock","Slide","Shallow
rotational","Active","Widening","Single","Shallow
rotational","2014","2017","2019","Highly
dissected
hill slope","River","Rainfall,
Steep
slope","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall along
affected zone, roof shade to
avoide shooting stone"
"3","L3","62 B/12","Bindakoti","Pangla-
Malpa","30.00139
9°","80.73043
6°","Gravitati
onal","Highly
dissected
hill slope","Biotite
gneiss","High","High","Colluvium","1 to 2 m","Extensive
cut slope","Damp","Rill
erosion","High","High","77","70","40","120","Debris","Slide","Shallow
rotational","Active","Retrogres
sive","Single","Shallow
rotational","2014","2017","2019","Highly
dissected
hill slope","River","Road
cutting,
rainfall","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall along
affected zone, roof shade to
avoide shooting stone"
"4","L4","62 B/12","Bindakoti","Pangla-
Malpa","30.00154
1°","80.72855
9°","Gravitati
onal","Highly
dissected
hill slope","Biotite
gneiss","High","High","Colluvium","1 to 2 m","Extensive
cut slope","Damp","Rill
erosion","High","High","80","100","60","80","Debris","Slide","Shallow
rotational","Active","Retrogres
sive","Single","Shallow
rotational","2014","2017","2019","Highly
dissected
hill slope","River","Road
cutting,
rainfall,
thick","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall along
affected zone, roof shade to
avoide shooting stone"
"5","L5","62 B/12","Garba","Pangla-
Malpa","30.00181
2°","80.72380
0°","Gravitati
onal","Highly
dissected
hill slope","Biotite
gneiss","High","High","Slope
wash","1 to 2 m","Extensive
cut slope","Damp","Rill
erosion","High","High","60","60","35","80","Rock","Slide","Shallow
rotational","Active","Retrogres
sive","Single","Shallow
rotational","2014","2017","2019","Highly
dissected
hill slope","River","Rovoeardburd
cutting,
rainfall","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall along
affected zone, roof shade to
avoide shooting stone"
"6","L6","62 B/12","Jipti","Pangla-
Malpa","30.00650
8°","80.71808
2°","Gravitati
onal","Highly
dissected
hill slope","Biotite
gneiss","High","High","Colluvium","1 to 2 m","Extensive
cut slope","Damp","Rill
erosion","High","High","26","100","20","500","Debris","Flow","Deep
rotational","Active","Retrogres
sive","Single","Deep
rotational","2018","","","Highly
dissected
hill slope","River","Road
cutting,
rainfall","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall along
affected zone, Line dranage"
"7","L7","62 B/12","Tankul","Pangla-
Malpa","30.00161
3°","80.71886
4°","Gravitati
onal","Denudati
onal hill
slope","Biotite
gneiss","Moderat
e","High","Colluvium","2 to 5m","Extensive
cut slope","Damp","Rill
erosion","High","High","230","104","150","100","Debris","Slide","Deep
rotational","Active","Retrogres
sive","Single","Deep
rotational","2014","2017","2019","Denudati
onal hill
slope","River","Road
cutting,
rainfall","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall along
affected zone, slope
modification"
"8","L9","62 C/9","Mangti","Dahrchul
a-Mangti","29.99041
2°","80.70773
6°","Gravitati
onal","Highly
dissected
hill slope","Quartzite","Moderat
e","High","Slope
wash","0 to 1m","Extensive
cut slope","Dry","","High","High","62","100","40","110","Rock","Slide","Shallow
rotational","Active","Retrogres
sive","Single","Shallow
rotational","2014","2017","2019","Highly
dissected
hill slope","River","Road
cutting,
rainfall","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall with
weep holes along affected
zone."
"9","L10","62 C/9","Pangla","Dahrchul
a-Mangti","29.98032
7°","80.69322
6°","Gravitati
onal","Highly
dissected
hill slope","Schist","Moderat
e","High","Slope
wash","0 to 1m","Extensive
cut slope","Dry","","High","High","90","75","50","20","Rock","Slide","Shallow
rotational","Active","Retrogres
sive","Single","Shallow
rotational","2014","2017","2019","Highly
dissected
hill slope","River","Road
cutting,
rainfall","Road
blockade","Road widening
activity without
proper protection
measures, rainfall","Concrete retaining wall with
weep holes along affected
zone."
